"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","12.171,90","12.193,95","12.216,18","12.157,60","","-0,18%"
"30/12/2019","12.193,95","12.189,27","12.194,73","12.071,30","","0,04%"
"27/12/2019","12.189,27","12.192,79","12.192,79","12.146,91","","-0,03%"
"26/12/2019","12.192,79","12.275,30","12.283,06","12.163,83","","-0,67%"
"25/12/2019","12.275,30","12.295,29","12.295,29","12.236,94","","-0,18%"
"24/12/2019","12.296,98","12.200,52","12.301,79","12.191,36","","0,79%"
"23/12/2019","12.200,52","12.165,65","12.217,08","12.142,77","","0,29%"
"20/12/2019","12.165,65","12.081,08","12.165,65","12.051,81","","0,70%"
"19/12/2019","12.081,08","12.024,58","12.083,34","11.975,87","","0,47%"
"18/12/2019","12.024,58","12.030,95","12.030,95","11.961,68","","-0,05%"
"17/12/2019","12.030,95","11.962,05","12.030,95","11.960,48","","0,58%"
"16/12/2019","11.962,05","11.973,63","11.976,09","11.925,55","","-0,10%"
"13/12/2019","11.973,63","11.900,56","11.973,63","11.888,17","","0,61%"
"12/12/2019","11.900,56","11.884,01","11.917,12","11.873,12","","0,14%"
"11/12/2019","11.884,01","11.812,80","11.889,89","11.812,80","","0,60%"
"10/12/2019","11.812,80","11.753,79","11.812,90","11.731,07","","0,50%"
"09/12/2019","11.753,79","11.764,13","11.775,62","11.735,05","","-0,09%"
"06/12/2019","11.764,13","11.694,66","11.770,80","11.694,35","","0,59%"
"05/12/2019","11.694,66","11.730,96","11.730,96","11.693,50","","-0,31%"
"04/12/2019","11.730,96","11.718,89","11.736,23","11.685,80","","0,10%"
"03/12/2019","11.718,89","11.752,12","11.761,79","11.709,87","","-0,28%"
"02/12/2019","11.752,12","11.822,32","11.825,00","11.752,12","","-0,59%"
"29/11/2019","11.822,32","11.834,27","11.834,27","11.822,32","","-0,10%"
"28/11/2019","11.834,27","11.839,24","11.840,80","11.796,31","","-0,04%"
"27/11/2019","11.839,24","11.807,93","11.839,24","11.781,89","","0,27%"
"26/11/2019","11.807,93","11.781,45","11.807,93","11.719,78","","0,22%"
"25/11/2019","11.781,45","11.809,15","11.809,15","11.770,53","","-0,23%"
"22/11/2019","11.809,15","11.744,35","11.832,75","11.723,08","","0,55%"
"21/11/2019","11.744,35","11.619,94","11.747,69","11.591,79","","1,07%"
"20/11/2019","11.619,94","11.645,44","11.650,78","11.603,97","","-0,22%"
"19/11/2019","11.645,44","11.626,55","11.645,49","11.584,51","","0,16%"
"15/11/2019","11.626,55","11.567,14","11.629,45","11.544,02","","0,51%"
"14/11/2019","11.567,14","11.576,89","11.577,45","11.547,70","","-0,08%"
